,Year,Name,Tm,Team,Position,VetStatus,Salary,SalaryPerc,Rk,Code,Age,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
124,2009,ChrisDavis,TEX,texas-rangers,1B,Pre-Arb,416620,0.58,307,davisch02,23,AL,113,419,391,48,93,15,1,21,59,0,0,24,150,0.238,0.284,0.442,0.726,85,173,6,2,0,2,2
125,2009,ChrisDenorfia,OAK,oakland-athletics,RF,Pre-Arb,420000,0.68,320,denorch01,28,AL,4,2,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0
126,2009,ChrisDickerson,CIN,cincinnati-reds,LF,Pre-Arb,400000,0.73,330,dickech01,27,NL,97,299,255,31,70,13,3,2,15,11,3,39,66,0.275,0.37,0.373,0.743,98,95,3,1,2,2,1
127,2009,ChrisGetz,CHW,chicago-white-sox,2B,Pre-Arb,401000,0.44,452,getzch01,25,AL,107,415,375,49,98,18,4,2,31,25,2,30,54,0.261,0.324,0.347,0.67,73,130,4,6,1,3,1
128,2009,ChrisIannetta,COL,colorado-rockies,C,Pre-Arb,415000,0.61,614,iannech01,26,NL,93,350,289,41,66,15,2,16,52,0,1,43,75,0.228,0.344,0.46,0.804,101,133,4,11,1,6,3
129,2009,ChrisPerez,STL,st.-louis-cardinals,RP,Pre-Arb,402000,0.58,972,perezch01,23,NL,28,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0
130,2009,ChrisRay,BAL,baltimore-orioles,RP,Pre-Arb,850000,1.51,1025,raych01,27,AL,3,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0
131,2009,ChrisSnyder,ARI,arizona-diamondbacks,C,Arb 2,2000000,2.88,1167,snydech02,28,NL,61,202,165,20,33,7,0,6,22,0,0,32,47,0.2,0.333,0.352,0.685,78,58,5,2,1,2,4
132,2009,ChrisYoung,ARI,arizona-diamondbacks,RF,Vet,1950000,2.8,1351,youngch04,25,NL,134,501,433,54,92,28,4,15,42,11,4,59,133,0.212,0.311,0.4,0.711,83,173,3,4,3,2,2
133,2009,ChrisYoung,SDP,san-diego-padres,RP,Vet,4625000,14.56,1350,youngch03,30,NL,13,26,23,2,6,0,0,0,2,0,0,2,7,0.261,0.32,0.261,0.581,63,6,0,0,1,0,0
134,2009,CJWilson,TEX,texas-rangers,SP,Arb 1,1850000,2.59,1325,wilsocj01,28,AL,4,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0
135,2009,ClayBuchholz,BOS,boston-red-sox,SP,Vet,413500,0.37,167,buchhcl01,24,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0
136,2009,ClaytonKershaw,LAD,los-angeles-dodgers,SP,Pre-Arb,404000,0.4,675,kershcl01,21,NL,30,59,48,2,5,0,0,0,2,0,0,3,16,0.104,0.157,0.104,0.261,-28,5,1,0,8,0,0
137,2009,ClaytonRichard,CHW,chicago-white-sox,SP,Pre-Arb,405000,0.45,1044,richacl01,25,AL,3,3,3,1,1,1,0,0,0,0,0,0,1,0.333,0.333,0.667,1,149,2,0,0,0,0,0
138,2009,CleteThomas,DET,detroit-tigers,LF,Pre-Arb,403000,0.37,1224,thomacl02,25,AL,102,310,275,46,66,13,3,7,39,3,0,33,77,0.24,0.324,0.385,0.709,85,106,3,1,1,0,0
139,2009,CliffPennington,OAK,oakland-athletics,SS,Pre-Arb,400000,0.65,963,pennicl01,25,AL,60,229,208,27,58,11,3,4,21,7,5,19,46,0.279,0.342,0.418,0.76,101,87,5,1,1,0,0
140,2009,ClintBarmes,COL,colorado-rockies,SS,Arb 1,1625000,2.4,79,barmecl01,30,NL,154,604,550,69,135,32,3,23,76,12,10,31,121,0.245,0.294,0.44,0.734,82,242,6,10,6,7,2
141,2009,CocoCrisp,KCR,kansas-city-royals,CF,Vet,6083334,13.42,292,crispco01,29,AL,49,215,180,30,41,8,5,3,14,13,2,29,23,0.228,0.336,0.378,0.714,91,68,4,1,4,1,1
